Participant ID,Trial condition (To be filled by the experimenter),Explain your decision in a few words:,Label - Key (Sina),Label - Key (Joao),Label - Key (Intersection),Explain your decision in a few words:1,Label - Visual (Sina),Label - Visual (Joao),Label - Visual (Intersection),Explain your decision in a few words:2,Label - Controls (Sina),Label - Controls (Joao),Label - Controls (Intersection)
1,Semi-Stationary,"World was easier to check, would not interfere with my view","2, 3","2, 3","2, 3","As it was visual, it was easier to check when anchored to head","8, 2",2,2,Arm was the most strategic place to easily click on the UI. It's nice to have the UI close to me so head and torso are after.,"2, 1","2, 6",2
1,Moving,I wanted the UI to be always with me while moving. I don't think arm is practical for this UI,7,"2, 3, 7",7,"Easier to see anytime when anchored to my head, then body.","1, 3",1,1,Body because then I can have in a place where I don't always see it.,"1, 3","1, 3","1, 3"
1,Stationary,"Did not need to move, so everything was accessible with world. Others are equally rated.","2, 4","2, 4","2, 4",Same as above,"2, 4","2, 4","2, 4",Same as above,"2, 4","2, 4","2, 4"
2,Moving,It was the main task so I could quickly see the key info and click on it.,"8, 1, 2","1, 2, 6","1, 2",Was able do distance it from the other task and would not obstruct my view when not uslng.,"2, 3, 8",3,3,Body was more easily accessible and would not obstruct my view.,"2, 3","2, 3","2, 3"
2,Semi-Stationary,More confortable and fast to see the instructions with head and body anchoring. Could not use the arm option because of the tracking issues.,"1, 3, 5","2, 3",3,I was able to continue my key task and do the visual task when needed.,"8, 2",,,Could not use the arm. Same reason as above for the others.,"1, 3, 5",,
2,Stationary,I'm stationary so I'd rather know where I need to look to see the UI I need.,"1, 4, 6","1, 4, 6","1, 4, 6",World same as above. Visual I want to know where it is without disturbing my FoV,"1, 4, 6","1, 4, 6","1, 4, 6",Same reason as above,"1, 4, 6","1, 4, 6","1, 4, 6"
3,Semi-Stationary,The UIs where following me so it was easier with body. I found that if the UIs were interfering it was harder than using the UIs in the world.,"1, 2, 3, 6, 8","1, 2","1, 2","As I was most of the time by the boxes, room was better and was easily accessible.","8, 2",2,2,"Easy to access because it was in my arm, would also not interfere with task, also because the UI was small.","2, 3, 8","2, 3","2, 3"
3,Stationary,I'm stationary so I can reach and see everything in my FoV,"4, 1, 2","1, 2, 4","1, 2, 4",Same as above.,"4, 1, 2","1, 2, 4","1, 2, 4",Same as above.,"4, 1, 2","1, 2, 4","1, 2, 4"
3,Moving,"It was hard to interact in torso so I did not quite like it. Head was always easy to reach and is stable to see the task (more intuitive than body). Arm was fine, but better for the controls, it would take too much space with keys task too (big UI).","2, 5, 3, 8, 1, 6","1, 2, 3, 5, 6","1, 2, 3, 5, 6","In torso I could be doing my key task, while always being able to look at the visual task. Interacting was hard but for this task that did not matter. Head could also be fine but would polute my view and would only need to look occasionally.","8, 1, 2, 3","1, 3","1, 3",Arm was easy to interact because the UI was very stable.,"2, 5","2, 5","2, 5"
4,Moving,It was easier on the body because when I moved it would come with me and it wouldn't always obstruct my view.,"7, 1, 2","1, 3, 7","1, 7",I don't need to be always using my hand and it's nice to be able to see it only when I need.,3,"1, 3",3,"It was small so it would not obstruct my FoV too much, therefore it was fine to have it head anchored. In the other places I'd have to think about it.","8, 1, 3, 6",3,3
4,Stationary,As I was stationary it was nice to everything around me.,"4, 2","3, 4",4,Same as above,"4, 2","3, 4",4,I used head but actually world would have been better because I was stationary.,"4, 5","3, 4",4
4,Semi-Stationary,Keys were all together so I had access to it when I needed.,"8, 2, 6",2,2,"I did not want to be always looking at it, and not having it in my hand left my hands free to do the key task.","8, 1, 2, 3",3,3,"Same as above, but size was small so head was fine - would not obstruct the FoV too much","8, 1, 3",2,
5,Stationary,I'm seating and stationary so it was to interact.,"4, 2","2, 4","2, 4",Same as above.,"4, 2","2, 4","2, 4",Same as above,"4, 2","2, 4","2, 4"
5,Semi-Stationary,I had to do the task there so it was better to have the instructions.,"8, 2","2, 4",2,Because the task appears while I'm moving it was easier to visualize.,"8, 7, 3","2, 7",7,It's easier to access the controls by just flipping my hand (more practical).,"8, 2",6,
5,Moving,"I had to move to do the task, so having them at my eye level made it easier.","8, 1, 7, 4","1, 2, 4, 7","1, 4, 7",It was following me as I moved and would not obstruct doing the primary task.,"7, 1, 8","1, 7","1, 7",I could use it whenever I needed it by lifting my arm.,2,2,2
6,Stationary,World because I was still.,"4, 5",4,4,Same as above.,"4, 5",4,4,Body is more still when stationary so it makes more sense than head.,"4, 5",4,4
6,Moving,Head is always following my view when I move so I can always see it.,"4, 7, 1","1, 6, 7","1, 7",Same as above.,"4, 7, 1","1, 2, 6, 7","1, 7",Same as above.,"4, 7, 1","1, 7","1, 7"
6,Semi-Stationary,Head because I could always see it and walk with me.,"1, 7","1, 7","1, 7",Same as above.,"1, 7","1, 7","1, 7",I only used it sometimes so it was easier to make it appear by moving my arm.,2,"2, 6",2
7,Semi-Stationary,"Because I was going to use the right arm to interact it was nice to bring it with me on my left hand, which is not my dominant hand.","3, 6, 7","2, 4, 6, 7","6, 7",Head and body because I just had to look at it.,1,,,"Because I was going to use the right arm to interact it was nice to bring it with me on my left hand, which is not my dominant hand.","3, 6, 7","6, 7","6, 7"
7,Moving,It's more convenient for me to carry it in my arm and use it with my main hand.,"2, 3, 7","2, 3","2, 3",No buttons so I just want to easily look at it.,"8, 1",1,1,It's more convenient for me to carry it in my arm and use it with my main hand.,"2, 3, 7",2,2
7,Stationary,I was stationary so no need move.,"4, 5",4,4,Same as above.,"4, 5",4,4,Same as above.,"4, 5",4,4
8,Semi-Stationary,Main task made it easier to see and interact when on head.,"8, 1, 2","1, 2","1, 2","Because it was something I was doing on and off, it was easier to make them appear in my FoV when I needed them.","8, 1, 3",2,,"Same as above. For the head, because controls were smaller it would not be as obstructive.","8, 1, 3",2,
8,Stationary,"Because there was no movement, the UI was not hindering the task.","4, 1",4,4,Same as above.,"4, 1",4,4,Same as above.,"4, 1",4,4
8,Moving,"Body would not obstruct so much as head-anchoring, as with head with would always be in the center of my FoV.",1,"1, 3, 6",1,"Could ""summon"" it whenever I needed by moving the arm.","3, 2","2, 6",2,Same as above.,"3, 2","2, 6",2
9,Moving,World was more stable. It was easier to see and I would just carry it with me. Always following me was confusing.,"5, 1, 6","1, 5, 6","1, 5, 6",Torso was good because it was nice to have it when I needed it.,2,"2, 4, 7",2,"Arm because it's like it was a watch, it was handy.","6, 2","2, 6","2, 6"
9,Semi-Stationary,Everything for the task was in front of me and I could see all at the same time.,"8, 2, 1","1, 2","1, 2",Easier to perform the task if it next to me when it triggers.,"8, 2","2, 7",2,I could perform the task when I needed by using an easy gesture. It was handy.,"8, 2","2, 6",2
9,Stationary,"Everything was in front of me without having to move much, so world.","1, 2, 5","2, 4",2,Same as above.,"1, 2, 5","2, 4",2,Same as above.,"1, 2, 5","2, 4",2
10,Moving,It was easier with head because I could always see the task and click on it.,"1, 2","1, 2, 7","1, 2",As a secondary task I would only use it when I needed by moving the arm.,"8, 2",4,,"It was easier with head because I could always see the task and click on it, and even though it was secondary, the UI was small.","1, 2, 8","1, 2","1, 2"
10,Stationary,World was better because they are static and makes it easier to do the tasks as I was not moving.,"5, 4, 2","4, 5","4, 5",Same as above.,"5, 4, 2","4, 5","4, 5",Same as above.,"5, 4, 2","4, 5","4, 5"
10,Semi-Stationary,I need the key task to go with me because I want to easily look at it.,"8, 7, 1","1, 2, 7","1, 7","Used body, but I think arm / head would have been better as the UI was always going in the boxes.","8, 3, 5","2, 7",,It was easy to look and click because they were at my eye level.,"8, 1, 2",2,2
11,Stationary,"Arm moves more and the others too, I prefer fixed in the world.",5,5,5,Same as above.,5,5,5,Same as above.,5,5,5
11,Semi-Stationary,Head determines the orientation so it's always where I expect it to be.,6,6,6,Same as above.,6,6,6,"It was like a watch, where I could use to play/pause.",6,6,6
11,Moving,Head was easier because it follow my head movement and I always see it - that is easier than body for me.,"1, 2","1, 7",1,Arm was not convenient as it was busy with other UIs. Head best (see above).,"1, 2, 3",2,2,Arm had good intuition as if I had a watch. It was better in terms of organization to know it was in my arm.,6,6,6
12,Stationary,It's fixed and in world I can organize my layout better. Everything is still in reach. Head the UI would be moving a lot.,"5, 6, 2","2, 5, 6","2, 5, 6",Same as above.,"5, 6, 2","2, 5, 6","2, 5, 6",Same as above.,"5, 6, 2","2, 5, 6","2, 5, 6"
12,Moving,It's fixed but mobile at the same time. It's easy to look at it without moving.,"7, 1, 2, 5","1, 6, 7","1, 7","Because I only had to look at it, it was nice that I could look at it easily. Any zone where I could see it would be good, having it on the arm it wasn't always obstructing my view.","1, 8, 3","1, 3","1, 3",Similar to above. Accessible but I can hide it. It's not always in my FoV and I had the arm free.,"1, 8, 3","1, 2, 3","1, 3"
12,Semi-Stationary,It was more practical to have it anchored to world because the task and info I needed was all in the same place.,"8, 6, 3, 5","5, 6","5, 6",Body would not take space from my FoV. I'd just look down and the info was available.,"1, 2, 3","2, 3, 6","2, 3",I was more practical in body as it was very accessible and more comfortable as it did not interfere with my FoV.,"2, 3","2, 3","2, 3"
13,Semi-Stationary,Body would make it easier to see. It was easier at waist level because I'm used to the smartphone.,"1, 6, 2","1, 2, 6","1, 2, 6",The visual was not confusing and would not be in the way when doing the other tasks.,"3, 8","2, 3",3,Same as above.,"3, 8","2, 3",3
13,Stationary,"I had to move my arms a lot, so having it still made it easier as the UIs would not mix up with each other.","8, 5, 2, 7","2, 5","2, 5",Same as above.,"8, 5, 2, 7","2, 5","2, 5",Same as above,"8, 5, 2, 7","2, 5","2, 5"
13,Moving,The UIs where following me so it was easier with body. I found that if the UIs were interfering it was harder than using the UIs in the world.,"7, 2, 5","1, 3, 6, 7",7,Same as above.,"7, 2, 5","2, 7","2, 7",Same as above.,"7, 2, 5","2, 7","2, 7"
14,Semi-Stationary,"Left arm was great because I always grab with the right and could easily look and click on it. I don't like to have stuff in my FoV so I did not like head as much. World could be good if I placed it next to the boxes, but I did not try it.","3, 1, 2, 8","2, 3","2, 3",Body was nice because I put it in the top left corner and I'd just look at it when that task appeared. Therefore it wouldn't obstruct my FoV.,"8, 2, 3","2, 3","2, 3",Left arm was great because I always grab with the right and could easily click on it. I don't like to have stuff in my FoV so I did not like head as much.,"3, 1, 2","2, 3, 6","2, 3"
14,Moving,Left arm was great because I always grab with the right and could easily look and click on it. I don't like to have stuff in my FoV so I did not like head as much.,"3, 1, 2","1, 2, 3, 6","1, 2, 3",Body was nice because I put it in the top left corner and I'd just look at it when that task appeared. Therefore it wouldn't obstruct my FoV.,"8, 2, 3","1, 3",3,Left arm was great because I always grab with the right and could easily look and click on it. I don't like to have stuff in my FoV so I did not like head as much.,"3, 1, 2","2, 3, 6","2, 3"
14,Stationary,I was sitting still so I did not need to have UIs glued to me.,"4, 5","4, 5","4, 5",Same as above.,"4, 5","4, 5","4, 5",Same as above.,"4, 5","4, 5","4, 5"
15,Moving,"I have the controls always accessible in head. If they are well positioned, I think it's the most practical and fast.","1, 2, 6","1, 2, 3","1, 2",Same as above.,"1, 2, 6","2, 6","2, 6",One of my hands was busy when using the arm and it was not practical that I had to change the key from one hand to the other to interact.,"3, 2","2, 4",2
15,Semi-Stationary,"In this scenario, the keys were always in the same place. It was easier to interact and my FoV was less cluttered.","8, 6, 2, 3","2, 3","2, 3",Knowing that the UI is exactly in that place is important for me (geospatially).,6,6,6,Same as above.,6,6,6
15,Stationary,World was the most stable and I always knew exactly where the controls were. There as also no clutter in my FoV.,"5, 6, 8, 3","1, 5, 6","5, 6",Same as above.,"5, 6, 8, 3","1, 5, 6","5, 6",Same as above.,"5, 6, 8, 3","1, 5, 6","5, 6"
16,Stationary,I can look towards the UI that is more important at that moment. I know where the UIs are. I did not try the arm.,"1, 6, 8","1, 6","1, 6",Same as above.,"1, 6, 8","1, 6","1, 6",Same as above.,"1, 6, 8","1, 6","1, 6"
16,Semi-Stationary,"When I turn, it follows me (torso), with arms it also moves unintentionally. I move the torso less intentionally than my head, my gaze guides where I want the UIs.","7, 1, 6, 5","5, 7","5, 7",Same as above.,"7, 1, 6, 5","5, 7","5, 7",Same as above.,"7, 1, 6, 5","5, 7","5, 7"
16,Moving,More urgent tasks have to be easily accessible so head was nice. It was good to have the keys easily accessible but not always in my FoV.,"2, 8, 3","1, 2, 6",2,"Where I look, I'd look to what is more important, so having it easily accessible in my FoV is nice.","1, 2, 6","1, 2","1, 2",Same as above.,"1, 2, 6","1, 2","1, 2"
17,Moving,"With arm I bring it with me. Body was fine but it would ""run away"". I don't like the head because it would run away.","7, 5","6, 7",7,"Body would follow me, and would always be there when I needed. World would require movement.","7, 2, 4",7,7,Same as arm for key.,"7, 2, 4","2, 6, 7","2, 7"
17,Stationary,"Everything was in front of me with world and I always knew where to go when I needed, and my hands where free.","1, 2, 6","2, 6","2, 6",Same as above.,"1, 2, 6","2, 6","2, 6",Same as above.,"1, 2, 6","2, 6","2, 6"
17,Semi-Stationary,"Used arm, but in retrospect, if I left the keys task in world it would have been more productive.","8, 3",,,"With body, the UI would be where I expect it to be without cluttering. And I just needed to look at this one.","6, 3, 1","3, 6","3, 6","Arm was functional, handy, and it was close.",3,2,
18,Stationary,I was able to easily see the interface (I knew where it was). Head was more annoying and tiring as it harmed my FoV.,"1, 6, 3","1, 3, 6","1, 3, 6",Same as above.,"1, 6, 3","1, 3, 6","1, 3, 6",Same as above.,"1, 6, 3","1, 3, 6","1, 3, 6"
18,Moving,"Body was better than head as I did not want to be looking at the UI all the time, but could look at it whenever I wanted.","1, 2, 3","1, 3, 6","1, 3",Same as above.,"1, 2, 3","2, 3","2, 3",Arm allowed me to quickly access the controls without having it in my FoV. It was in a secondary zone with easy access.,"2, 3","2, 3","2, 3"
18,Semi-Stationary,"Body was better than head as I did not want to be looking at the UI all the time, but could look at it whenever I wanted. Used head on this one though.","1, 2, 3","2, 3","2, 3","Same as above, but world wasn't great as it would require me to move.","1, 2, 3, 4","2, 3","2, 3",Arm allowed me to quickly access the controls without having it in my FoV. It was in a secondary zone with easy access.,"2, 3","2, 3","2, 3"
19,Semi-Stationary,"Body is more user friendly, it's easily accessible. Head was interfering with my FoV.","3, 2, 1","2, 3","2, 3","Same as above, but world was last as I would have to move to pick calls or do the visual task.","3, 2, 1, 8, 4","2, 3","2, 3",Same as visual.,"3, 2, 1, 8, 4","2, 3","2, 3"
19,Moving,"Body is more user friendly, it's easily accessible. Head was interfering with my FoV.","3, 2, 1","1, 2, 3","1, 2, 3",Same as above.,"3, 2, 1","2, 3","2, 3","When the sound arrives, I know I just lift my arm and is easier. Also, it's not in my FoV.","8, 2, 3","2, 3, 6","2, 3"
19,Stationary,"Here I'm standing, the FoV is ""fixed"". It's more stable with the UI fixed.","4, 5, 1","1, 4, 5","1, 4, 5",Same as above.,"4, 5, 1","1, 4, 5","1, 4, 5","More practical, just as a phone. I just take my arm and pick up / turn off the call.","6, 3","1, 4, 5",
